"","region","M","beta","alpha","r2"
"1","Anhui","991.727110672349","0.282479823188637","14.3316839340296","0.999492191259023"
"2","Beijing","459.88281301432","0.147472995834559","14.9474884236544","0.932823913230677"
"3","Chongqing","574.89900655879","0.242473663713908","12.2713904894328","0.997012544936601"
"4","Fujian","299.195689604939","0.250316887673006","11.9057021045004","0.990098932651465"
"5","Gansu","132.552347857854","0.0862918691328172","20.5285051895462","0.905073635579354"
"6","Guangdong","1363.39503729609","0.270506872418196","12.8695780088622","0.995678557108236"
"7","Guangxi","252.430084560686","0.221425797661896","13.1953077544682","0.998332815110394"
"8","Guizhou","146.794359221076","0.303000319375567","15.8834894520645","0.997343920110366"
"9","Hainan","168.897419519175","0.233929193867851","13.5311175804281","0.996467937145723"
"10","Hebei","318.738910168272","0.227995024261765","15.9124060777623","0.997134928756102"
"11","Heilongjiang","482.288084505997","0.272906151923328","16.7594795952735","0.998916915791469"
"12","Henan","1271.74040321814","0.282411370173136","13.6936891798356","0.999199334400125"
"13","Hunan","1017.7517851668","0.285533868177711","12.9055036305543","0.998763611263307"
"14","Inner.Mongolia","76.1976748247541","0.213370905468458","14.6158954351147","0.985607731160537"
"15","Jiangsu","633.969530095528","0.257822305481662","14.4965583451905","0.998096264380378"
"16","Jiangxi","936.301528269099","0.295327236949025","14.0924860529276","0.999014960969351"
"17","Jilin","92.5763131146978","0.336997641583267","14.6614393583666","0.99757243943284"
"18","Liaoning","124.041851086801","0.254644187011239","11.4417220778091","0.995178817403606"
"19","Ningxia","74.6042861901716","0.206619144286961","15.463355301493","0.993473639543512"
"20","Qinghai","18.0840995726319","0.386126034000969","10.0351450228648","0.985309955716727"
"21","Shaanxi","245.687029200458","0.269876682375698","12.7071531711976","0.998160404275517"
"22","Shandong","770.056921732318","0.154044172062656","18.2618950795315","0.98191457774668"
"23","Shanghai","356.928805498531","0.231094059049556","12.3626742793207","0.944243018376793"
"24","Shanxi","132.923040031653","0.305439784253045","12.6424676733364","0.99747007898506"
"25","Sichuan","538.858946529305","0.206871644759798","14.2606775678117","0.996051883546875"
"26","Tianjin","138.192667811895","0.202674281327184","15.0878882814061","0.993464959676914"
"27","Xinjiang","76.6796257977719","0.229545848475875","16.4989010650762","0.996091545127101"
"28","Yunnan","173.62793889087","0.264707771041196","11.2152256879895","0.989679872746683"
"29","Zhejiang","1210.76450192477","0.30775518726418","11.5927336008357","0.995403338258017"
