,cases,days
1/22/20,1,0
1/23/20,9,1
1/24/20,15,2
1/25/20,39,3
1/26/20,60,4
1/27/20,70,5
1/28/20,106,6
1/29/20,152,7
1/30/20,200,8
1/31/20,237,9
2/1/20,297,10
2/2/20,340,11
2/3/20,408,12
2/4/20,480,13
2/5/20,530,14
2/6/20,591,15
2/7/20,665,16
2/8/20,733,17
2/9/20,779,18
2/10/20,830,19
2/11/20,860,20
2/12/20,889,21
2/13/20,910,22
2/14/20,934,23
2/15/20,950,24
2/16/20,962,25
2/17/20,973,26
2/18/20,982,27
2/19/20,986,28
2/20/20,987,29
2/21/20,988,30
2/22/20,989,31
2/23/20,989,32
2/24/20,989,33
2/25/20,989,34
2/26/20,989,35
2/27/20,989,36
2/28/20,990,37
2/29/20,990,38
3/1/20,990,39
3/2/20,990,40
3/3/20,990,41
3/4/20,990,42
3/5/20,990,43
3/6/20,990,44
3/7/20,990,45
3/8/20,990,46
3/9/20,990,47
3/10/20,990,48
3/11/20,990,49
3/12/20,990,50
3/13/20,990,51
3/14/20,990,52
3/15/20,990,53
3/16/20,990,54
3/17/20,990,55
3/18/20,990,56
3/19/20,990,57
3/20/20,990,58
3/21/20,990,59
3/22/20,990,60
3/23/20,990,61
3/24/20,990,62
3/25/20,990,63
3/26/20,990,64
3/27/20,990,65
